letter,tags,headword,eng,rus,forms,variants
,"n
сущ.","ағла́в
aʁˈlav",pan,сковорода,ағлавте,ағлаба
,"n
сущ.","ағу́
aˈʁu",venom,яд,ағуйте,
,"n
сущ.","ағу́ла ицца́ла
aˌʁula iˈtsːala",cancer,рак,,
,"n
сущ.","ада́в
aˈdav",etiquette,этикет,,
,"n
сущ.","а́даьре
ˈadahre",ignoramus,незнайка,,
,"n
сущ.","адиккну́с
adikːˈnus",inhospitable person,негостеприимный человек,адиккнусе,
,"n
сущ.","ажа́л
aˈʒal",doom,рок,,
,"n
сущ.","аждаьа́
aʒdaˈha",dragon,дракон,аждиьне,айдаьа
,"n
сущ.","а́же
ˈaʒe",melody,мелодия,ажне,
,"adj
прил.","ажи́ж
aˈʒiʒ",probable,вероятный,,
,"n
сущ.","ажу́ғ
aˈʒuʁ",spite,злоба,ажуғе,
,"n
сущ.","ажу́ж-мажу́ж
aˌʒuʒ-maˈʒuʒ",anarchy,анархия,,
,"n
сущ.","аза́й
aˈzaj",aunt,тётя,азайхал,"абизи
абазай
абайцци
аттазай"
,"adj
прил.","аза́т
aˈzat",free,свободный,,
,"n
сущ.","азба́р
azˈbar",yard,двор,азбунде,шеркка
,"num
числ.","ази́р
aˈzir",thousand,тысяча,,
,"adv
нар.","ази́ранцци
aˈzirantsːi",in great numbers,в великом множестве,,
,"n
сущ.","азиртьяла́н
azirtʼæˈlan",centipede,многоножка,азиртьяланте,"азиртья
даршал тьимяр"
,"adj
прил.","аирғи́ж
airʁˈiʒ",obscure,неясный,,
,"n
сущ.","айғу́р
ajˈʁur",stallion,жеребец,айғурте,
,"n
сущ.","айланди́
ajlanˈdi",dancing circle,танцевальный круг,,ҡҡайландир
,"n
сущ.","айту́
ajˈtu",legend,легенда,айтубе,
,"adj
прил.","акабурха́н
akaburˈχan",unending,нескончаемый,акабурхул,
,"n
сущ.","актяби́р
aktæˈbir",October,октябрь,,
,"n
сущ.","аку́п
aˈkup",trench,окоп,,
,"v
гл.","акка́ иҡа́ра
aˌkːa iˈqara",to part,расходиться,"~ аҡив
~ аҡара",
,"n
сущ.","а́ккне
ˈakːne",absence,отсутствие,,
,"conj
союз","а́ккол
ˈakːol",otherwise,иначе,,
,"adv
нар.","а́ккор
ˈakːor",not being,не будучи,,
,"adj
прил.","акко́р
aˈkːor","without
absent","без
отсутствующий",аккол,
,"v cls
гл. кл.","акко́р бирьо́ра
aˌkːor birˈhora",to go extinct,вымирать,"~ биьяв
~ биьора",
,"n
сущ.","а́ккре
ˈakːre",nonsense,клевета,аккунде,
,"cop
связ.","а́кку
ˈakːu",not,не,"аккоде
аккотте
аккотта
аччу",аккура
,"adv
нар.","а́ккун
ˈakːun",except,кроме,,"аккол
аккон"
,"n
сущ.","аҡ
ˈaq",vineyard,виноградник,"аҡа-
иҡре",
,"n
сущ.","аҡана́й
aqaˈnaj",summit,вершина,аҡанайте,
,"n
сущ.","а́ҡре
ˈaqre",entrance,вход,аҡунде,
,"n
сущ.","а́ҡҡе
ˈaqːe",hearth,очаг,,яҡҡи
,"post
посл.","ала́в
aˈlav",around,вокруг,,алавчил
,"v cls
гл. кл.","ала́в бирка́ра
aˌlav birˈkara",to evade,уклоняться,"~ бичив
~ бикара",
,"v cls
гл. кл.","ала́в цабира́ра
aˌlav tsabiˈrara",to enclose,огораживать,"~ цабарив
~ цабарара",
,"v cls
гл. кл.","ала́в цабирга́ра
aˌlav tsabirˈgara",to gather,собираться,"~ цабижив
~ цабигара",
,"v
гл.","ала́в цика́ра
aˌlav tsiˈkara",to navigate,подводить,"~ цачив
~ цакара",
,"v cls
гл. кл.","ала́в ьабира́ра
aˌlav habiˈrara",to envelop,окутывать,"~ ьабарив
~ ьабарара",
,"v cls
гл. кл.","ала́в ьабирга́ра
aˌlav habirˈgara",to rally,сплачиваться,"~ ьабижив
~ ьабигара",
,"v cls
гл. кл.","ала́в ьабурца́ра
aˌlav haburˈtsara",to surround,окружать,"~ ьабуцив
~ ьабуцара",
,"n
сущ.","алаша́
alaˈʃa",dwarf,карлик,алашабе,
,"n
сущ.","албастти́
albasˈtːi",devil,дьявол,,
,"n
сущ.","албуха́р
albuˈχar",Bukhara,Бухара,,
,"n
сущ.","алжа́на
alˈʒana",heaven,рай,алжанал-,
,"n
сущ.","али́п
aˈlip",alphabet,алфавит,,
,"n
сущ.","алла́ь
alˈlah",Allah,Аллах,,
,"n
сущ.","алла́ьла ҡьвял
alˌlahla ˈqʼʷæl",firebug,клоп-солдатик,,
,"n
сущ.","алма́с
alˈmas",glass cutter,стеклорез,,
,"v
гл.","алтьа́на
alˈtʼana",to stick,втыкаться,"атьун
атьана",
,"n
сущ.","алуча́
aluˈtʃa",cherry plum,алыча,,
,"conj
союз","а́ма
ˈama",but,но,,амма
,"conj
союз","амаки́
amaˈki",however,однако,,аммаки
,"n
сущ.","амана́т
amaˈnat",custody,попечение,,
,"n
сущ.","амма́
amˈma",stroll,прогулка,,
,"n
сущ.","амъа́м
amˈʔam",stutter,заикание,,
,"n
сущ.","амьаму́ҡь
amhaˈmuqʼ",woodlouse,мокрица,амьамуҡье,
,"n
сущ.","анжи́р
anˈʒir",fig,инжир,,
,"v cls
гл. кл.","анкь кабирга́ра
ˌankʼ kabirˈgara",to doze,кимарить,"~ кабижив
~ кабигара",чибусана
,"n
сущ.","анкьа́ла
anˈkʼala",sleep,сон,"анкьле-
анкьлиппе",
,"n
сущ.","анҡҡа́в
anˈqːav",kite,коршун,анҡҡавте,
,"n
сущ.","анни́
anˈni",pain,боль,,
,"n
сущ.","ант
ˈant",squeak,писк,,
,"n
сущ.","анту́ҡь
anˈtuqʼ",oblivion,забвение,,антаҡь
,"n
сущ.","а́нтта
ˈantːa",forehead,лоб,"анттан-
анттиппе",
,"adj
прил.","анццу́
anˈtsːu",bland,пресный,,
,"n
сущ.","анццу́ҡҡ
anˈtsːuqː",taunt,подколка,анццуҡҡе,
,"n
сущ.","анцье́н
anˈtsʼen",heifer,тёлка,анцьенте,
,"n
сущ.","апира́цци
apiˈratsːi",surgery,операция (хирургическая),апираццибе,
,"n
сущ.","аппу́
aˈpːu",fall,падение,,
,"n
сущ.","арби́ш
arˈbiʃ",halva,халва,,"авриш
арша"
,"v
гл.","арга́ра
arˈgara","to happen
to work out
to become","случаться
получаться
становиться","агур
агара",
,"n
сущ.","арғ
ˈarʁ",season,сезон,арғре,
,"n
сущ.","а́ре
ˈare",authority,власть,арин-,
,"n
сущ.","а́рже
ˈarʒe",shaft,рукоять,аржиппе,
,"v
гл.","аржиха́ра
arʒiˈχara",to cause,причинять,"ажихив
ажихара",
,"n
сущ.","ари́нд
aˈrind",rent,аренда,,ижар
,"n
сущ.","ари́нж
aˈrinʒ",epidemic,эпидемия,,
,"n
сущ.","арк
ˈark",axis,ось,аркре,
,"adj
прил.","аркьа́
arˈkʼa",barren,яловой,,
,"n
сущ.","арх
ˈarχ",track,колея,ирхре,
,"n
сущ.","арц
ˈarts","money
silver","деньги
серебро",арцре,
,"n
сущ.","арца́г
arˈtsag",arch,арка,арцаге,"арслав
арсавккаг"
,"n pl
сущ. мн.","арцре́
artsˈre",earnings,заработок,,
,"n
сущ.","а́рцье
ˈartsʼe",weed,сорняки,арцьин-,
,"n
сущ.","арцьяъя́
artsʼæˈʔæ",weeder,пропольщик,арцьяъне,арцьиҡьян
,"n
сущ.","а́рше
ˈarʃe",harvest,урожай,аршин-,
,"n
сущ.","аршя́ъя
arˈʃæʔæ",reaper,жнец,аршяъне,аршиҡьян
,"n
сущ.","а́рьне
ˈarhne",saw,пила,арьниппе,
,"n
сущ.","ас
ˈas",status,статус,,
,"n
сущ.","аса́р
aˈsar",impression,впечатление,асарте,
,"adj
прил.","аси́л
aˈsil",noble,благородный,,
,"adj
прил.","асҡҡа́ҡҡ
asˈqːaqː",wretched,убогий,,
,"n
сущ.","астталва́й
astːalˈvaj",canteen,столовая,астталвайте,
,"intj
межд.","астта́хпилла
asˈtːaχpilla","expression of disapproval, shock","выражение неодобрения, шока",,
,"n
сущ.","а́тта
ˈatːa",father,отец,аттне,датте
,"n
сущ.","аттаба́
atːaˈba",paternal grandmother,бабушка по отцу,аттабне,аттуба
,"n
сущ.","аттаба́ш
atːaˈbaʃ",cricket,сверчок,аттабаше,
,"ptcl
част.","атте́
aˈtːe","interrogative particle (really?, is it true?)
emphatic particle (come on, already, now)","вопросительная частица (разве?, правда ли?)
усилительная частица (же, давай, ну)",,атти
,"n
сущ.","атти́х
aˈtːiχ",respite,передышка,аттихе,
,"n
сущ.","атьла́с
atʼˈlas",atlas silk,атласная ткань,,
,"n
сущ.","аха́л
aˈχːal",guest,гость,ахле,
,"n
сущ.","ахалде́ҳ
aχːalˈdex",hospitality,гостеприимство,,
,"n
сущ.","ахи́р
aˈχir",end,конец,ахирте,яхир
,"n
сущ.","ахира́т
aχiˈrat",afterlife,загробная жизнь,,
,"adv
нар.","ахи́рра
aˈχirra",at last,наконец,,
,"n
сущ.","ахла́т
aχˈlat",visit to a non-relative,визит к постороннему человеку,,
,"v
гл.","ахле́ арга́ра
aχˌle arˈgara",to fraternize,брататься,"~ агур
~ агара",ахал бирццара
,"n
сущ.","ахма́х
aχˈmaχ",idiot,идиот,ахмахе,
,"n
сущ.","ахра́н
aχˈran",security guard,охранник,ахранте,
,"n
сущ.","ахрарцьи́
aχrarˈtsʼi",first furrow festival,праздник первой борозды,,
,"v cls
гл. кл.","ахре́й бирка́ра
aχˌrej birˈkara",to nap,дремать,"~ бичив
~ бикара",
,"n
сущ.","ахсине́кк
aχsiˈnekː",indigo,индиго,,синкка
,"n
сущ.","ахта́р
aχˈtar",check,проверка,,ахтарди
,"n
сущ.","ахтире́кк
aχtiˈrekː",poplar,тополь,,
,"n pl
сущ. мн.","ахту́кьле
aχˈtukʼle",sputum,мокрота,,
,"n
сущ.","аҳлиъя́н
axliˈʔæn",bird,птица,аҳлиъне,аҳлиҡья
,"n
сущ.","ацци́
aˈtsːi",respected elder man,уважаемый пожилой,аццне,
,"adj
прил.","ач
ˈatʃ",open,открытый,,яч
,"n
сущ.","аччу́т
aˈtʃːut",report,отчёт,аччуте,
,"n
сущ.","а́чье
ˈatʃʼe",wheat,пшеница,ачьне,
,"n
сущ.","а́чьиҡьа́р
ˌatʃʼiˈqʼar",sedge,осока,,
,"n
сущ.","а́ше
ˈaʃe",caraway,тмин,,
,"adj
прил.","ашкка́р
aʃˈkːar",explicit,явный,,
,"v cls
гл. кл.","ашкка́р бира́ра
aʃˌkːar biˈrara",to reveal,выявлять,"~ барив
~ барара",
,"n
сущ.","ашма́г
aʃˈmag",shawl,шаль,ашмаге,
,"intj
межд.","ашна́
aʃˈna",affirmative particle,утвердительная частица,,
,"n
сущ.","ашнаки́
aʃnaˈki",buddy,приятель,ашникне,
,"n
сущ.","ашрапи́
aʃraˈpi",golden coin,золотая монета,ашрапне,
,"n
сущ.","ашттархава́й
aʃtːarχaˈvaj",insurance,страховка,,
,"n
сущ.","аъ
aʔ",palate,нёбо,аъбе,"яъ
аъгула
кьавгула"
,"v
гл.","аъ кабурҡа́ра
ˌaʔ kaburˈqara",to gawp,таращиться,"~ кабяҡив
~ кабяҡара",
,"intj
межд.","а́ъа
ˈaʔa",no,нет,,уъу
,"intj
межд.","аь
ˈah",oh,ах,,
,"intj
межд.","аь-ьаьа́й
ˈah haˌhaj",dammit,ничего себе,,
,"v cls
гл. кл.","аь бикьо́ра
ˌah biˈkʼora",to be unwell,недомогать,,
,"intj
межд.","аьа́
aˈha",yeah,ага,,уьу
,"n
сущ.","а́ьи
ˈahi",weeping,рыдание,,биса-ҡвяса
,"n
сущ.","а́ьлу
ˈahlu",generation,поколение,аьлубе,
б,,,,,,
,"intj cls
межд. кл.","ба́авкки
ˈbaavkːi",alright,ладно,,
,"conj cls
союз кл.","ба́ал
ˈbaal",if,если,"баадал
бааттал",
,"n
сущ.","ба́баба
ˈbababa",mumble,мямлянье,,
,"n
сущ.","бав
ˈbav",impulse,импульс,,
,"n
сущ.","баг
ˈbag",core,ядро,,
,"v cls
гл. кл.","баг утта́ра
ˌbag uˈtːara",to tear,рваться,"~ берттара
~ берттив",
,"n
сущ.","ба́гре
ˈbagre",tool,инструмент,багриппе,
,"n
сущ.","бағ
ˈbaʁ",park,парк,бағме,
,"n
сущ.","бажана́х
baʒaˈnaχ",brother-in-law,шурин,бажанахе,
,"adj
прил.","бажа́р
baˈʒar",diligence,усердие,,
,"adj
прил.","бажи́в
baˈʒiv",needed,нужный,даживте,
,"adj cls
прил. кл.","бажи́ж
baˈʒiʒ",obligatory,обязательный,,
,"adv
нар.","бажя́ят
baˈʒææt",unlikely,вряд ли,,
,"n
сущ.","база́р
baˈzar",market,рынок,базарте,
,"n
сущ.","база́рбар
baˈzarbar",day off,выходной,базарбирме,
,"n
сущ.","бази́
baˈzi",dance,танец,базне,
,"n
сущ.","базрига́н
bazriˈgan",trader,торговец,базригне,
,"adj
прил.","бай
ˈbaj",loyal,"верный, преданный",,
,"n
сущ.","байде́ҳ
bajˈdex",fidelity,лояльность,,
,"n
сущ.","байра́ҡҡ
bajˈraqː",banner,знамя,байраҡҡе,
,"n
сущ.","байра́н
bajˈran",holiday,праздник,байранте,
,"n
сущ.","байрахчи́
bajraχˈtʃi",standard bearer,знаменосец,байрахчибе,
,"n
сущ.","байтарма́н
bajtarˈman",poor guy,бедолага,байтарманте,
,"n
сущ.","байту́р
bajˈtur",thicket,заросль,байтурте,
,"n
сущ.","бакк
ˈbakː",pulp,мякоть,,
,"v cls
гл. кл.","бакк утта́ра
ˌbakː uˈtːara",to burst,лопаться,"~ берттара
~ берттив",
,"v cls
гл. кл.","бакк цурга́ра
ˌbakː tsurˈgara",to rinse,прополаскивать,"~ цагара
~ цагур",
,"n
сущ.","ба́кка
ˈbakːa",beanie,"шапочка, петушок",баккан-,
,"post cls
посл. кл.","бакки́
baˈkːi",inside,внутри,,
,"v cls
гл. кл.","бакки́ бяна́
baˌkːi bæˈna",to enter,войти,"~ бярун
~ бянне",
,"adv cls
нар. кл.","бакки́рхин
baˈkːirχin",through,сквозь,,
,"n
сущ.","ба́кьре
ˈbakʼre",abscess,нарыв,бакьунде,
,"adv
нар.","баҡ
ˈbaq",too,слишком,,
,"adj cls
прил. кл.","баҡ
ˈbaq",numerous,многочисленный,,
,"v cls
гл. кл.","баҡ биға́ра
ˌbaq biˈʁara",to spread,распространяться,"~ беғара
~ беғив",
,"v cls
гл. кл.","баҡ бирьо́ра
ˌbaq birˈhora",to multiply,умножаться,"~ биьора
~ биьяв",
,"n cls
сущ. кл.","баҡде́ҳ
baqˈdex",multitude,множество,,
,"adv cls
нар. кл.","ба́ҡил
ˈbaqil",a lot,много,,
,"adv cls
нар. кл.","баҡи́нна
baˈqinna",for a long time,долго,,
,"n
сущ.","баҡра́
baqˈra",collective aid,коллективная помощь,,
,"v cls
гл. кл.","баҡь урга́ра
ˌbaqʼ urˈgara",to prepare,подготавливать,"~ агара
~ агур",
,"n
сущ.","бала́
baˈla",misfortune,беда,,
,"adj cls
прил. кл.","балгу́н
balˈgun",balanced,гармоничный,,
,"n
сущ.","бали́
baˈli",she-buffalo,буйволица,балме,
,"n
сущ.","ба́лкка
ˈbalkːa",dua,"дуа, мольба",балккне,
,"v
гл.","ба́лкка бира́ра
ˌbalkːa biˈrara",to pray,молить,"~ барара
~ барив",
,"v cls
гл. кл.","балҡьа́на
balˈqʼana","to get sad
to crash
to ferment","расстраиваться
разбиваться
бросить, скисать","баҡьана
баҡьун",
,"v cls
гл. кл.","балса́на
balˈsana",to mold,лепить,"басана
басун",
,"n
сущ.","ба́лтьа
ˈbaltʼa",clearing,поляна,"балтьан-
балтьне",
,"v cls
гл. кл.","балха́на
balˈχːana",to feed,кормить,"бахана
бахун",
,"v cls
гл. кл.","балша́на
balˈʃana",to get dirty,пачкаться,"башана
башун",
,"v cls
гл. кл.","балшиха́на
balʃiˈχana",to dirty,пачкать,"башихана
башихун",
,"n
сущ.","бамба́г
bamˈbag","cotton wool
cotton","вата
хлопок",,
,"n
сущ.","бамбау́з
bambaˈuz",fat man,толстяк,,
,"n
сущ.","банкка́
banˈkːa",jar,банка,"банккан
бинккне",
,"n
сущ.","банницца́
banniˈtsːa",hospital,больница,банниццабе,
,"n
сущ.","бану́
baˈnu",mistress,госпожа,,
,"n
сущ.","бар
ˈbar",day,день,"бари-
бирме",
,"adv
нар.","бара́
baˈra",nearly,чуть,,
,"n
сущ.","барба́
barˈba",wrestling,борьба (спорт),барбал-,
,"n
сущ.","бардеги́
bardeˈgi",twill,твил,,
,"n
сущ.","ба́ре
ˈbare",sun,солнце,бари-,
,"n pl
сущ. мн.","баривте́
barivˈte",offspring,потомство,,
,"adj cls
прил. кл.","бари́ж
baˈriʒ",feasible,посильный,,
,"n
сущ.","бари́ць
baˈritsʼ",east,восток,,
,"n
сущ.","ба́ркала
ˈbarkala",thanks,спасибо,,
,"adj
прил.","баркама́н
barkaˈman",excellent,отличный,,
,"n
сущ.","барка́т
barˈkat",abundance,изобилие,,
,"n
сущ.","барҡь
ˈbarqʼ",deed,поступок,барҡье,
,"adj
прил.","барҡь акко́р
ˌbarqʼ aˈkːor",unfit,негодный,,
,"n
сущ.","барҡьба́ц
barqʼˈbats",mastery,мастерство,,
,"n
сущ.","барҡьу́тте
barˈqʼutːe",behaviour,поведение,барҡьуттне,
,"n
сущ.","барс
ˈbars",change,изменение,,
,"v cls
гл. кл.","барс бира́ра
ˌbars biˈrara",to change,изменять,"~ барара
~ барив",
,"v cls
гл. кл.","барс бирцца́ра
ˌbars birˈtsːara",to oppose,противиться,"~ биццара
~ биццур",
,"v cls
гл. кл.","барс кабикьо́ра
ˌbars kabiˈkʼora",to vary,сменяться,,
,"v cls
гл. кл.","барс кабира́ра
ˌbars kabiˈrara",to replace,заменять,"~ кабарара
~ кабарив",
,"v cls
гл. кл.","барс цабира́ра
ˌbars tsabiˈrara",to remake,переделывать,"~ цабарара
~ цабарив",
,"n
сущ.","ба́рслум
ˈbarslum",exchange,обмен,,
,"v cls
гл. кл.","барта́ра
barˈtara","to let
to leave","позволять
оставлять","батара
батур",
,"v cls
гл. кл.","бартиха́ра
bartiˈχara",to defent,защищать,"батихара
батихур",
,"n
сущ.","барткке́л
bartˈkːel",fallow deer,лань,бартккелте,
,"n
сущ.","барту́чь
barˈtutʃʼ",bearing,"крутящийся элемент, подшипник (?)",бартучье,
,"n
сущ.","барттаҡҡу́
bartːaˈqːu",radiculitis,радикулит,,
,"n
сущ.","бару́
baˈru",stone fence,каменный забор,барне,
,"post cls
посл. кл.","барх
ˈbarχ",with,с,,
,"v
гл.","барх бирка́ра
ˌbarχ birˈkara",to join,присоединяться,"~ бикара
~ бичив",
,"v cls
гл. кл.","барх бирцца́ра
ˌbarχ birˈtsːara",to get used to,свыкаться,"~ биццара
~ биццур",
,"v cls
гл. кл.","барх цабира́ра
ˌbarχ tsabiˈrara",to mix,смешивать,"~ цабарара
~ цабарив",
,"v cls
гл. кл.","барх цабирьо́ра
ˌbarχ tsabirˈhora",to participate,участвовать,"~ цабиьора
~ цабиьяв",
,"v cls
гл. кл.","барх цабурҡа́ра
ˌbarχ tsaburˈqara",to include,включать в,"~ цабяҡара
~ цабяҡив",
,"v cls
гл. кл.","барх ьабирьо́ра
ˌbarχ habirˈhora",to confuse,запутываться,"~ ьабиьора
~ ьабиьяв",
,"v cls
гл. кл.","барх ьабирьо́ра
ˌbarχ habirˈhora",to deal with,иметь дело,"~ ьабиьора
~ ьабиьяв",
,"adj cls
прил. кл.","барҳ
ˈbarx","fair
honest
right","справедливый
честный
верный",,
,"v cls
гл. кл.","барҳ бира́ра
ˌbarx biˈrara",to straighten,выпрямлять,"~ барара
~ барив",
,"v cls
гл. кл.","барҳ бирцца́ра
ˌbarx birˈtsːara","to suit
to fulfill","соответствовать
сбываться","~ биццара
~ биццур",
,"v cls
гл. кл.","барҳ кабира́ра
ˌbarx kabiˈrara",to see off,провожать,"~ кабарара
~ кабарив",
,"v cls
гл. кл.","барҳ урға́ра
ˌbarx urˈʁara","to correct
to admonish","исправлять
наставлять","~ ағара
~ ағив",
,"n
сущ.","барҳде́ҳ
barxˈdex",justice,справедливость,,
,"adj cls
прил. кл.","барҳчи́
barxˈtʃi",straight,прямой,,
,"n cls
сущ. кл.","барццурде́ҳ
bartsːurˈdex",fatigue,усталость,,
,"n cls
сущ. кл.","барьа́н
barˈhan",familiar,знакомый,"барьанил-
барьанте",
,"v cls
гл. кл.","барьа́ра
barˈhara","to know
to recognise","знать
узнавать","баьара
баьур",
,"v cls
гл. кл.","барьиха́ра
barhiˈχara",to inform,сообщать,"баьихара
баьихур",
,"adv
нар.","ба́рьул
ˈbarhul",intentionally,умышленно,,
,"v cls
гл. кл.","бат бирҳа́ра
ˌbat birˈxara",to set off,начинать движение,"~ биҳара
~ бишив",
,"v cls
гл. кл.","бат булҡа́на
ˌbat bulˈqana","to break free
to have fun","вырываться, освобождаться
веселиться","~ буҡана
~ буҡун",
,"v cls
гл. кл.","бат бурға́ра
ˌbat burˈʁara",to provide,"предоставлять, отправлять","~ беғара
~ беғив",
,"v cls
гл. кл.","бат кабулҡа́на
ˌbat kabulˈqana",to break away,срываться,"~ кабуҡана
~ кабуҡун",
,"v cls
гл. кл.","бат курға́ра
ˌbat kurˈʁara",to drop,бросать,"~ кағара
~ кағив",
,"v cls
гл. кл.","бат урға́ра
ˈbat urˈʁara",to let go,отпускать,"~ ағара
~ ағив",
,"adv cls
нар. кл.","ба́тле
ˈbatle",freely,вольно,,
,"n
сущ.","бахма́
baχˈma",velveteen,вельвет,,
,"n
сущ.","бахт
ˈbaχt",fortune,везение,,
,"v cls
гл. кл.","баҳ барта́ра
ˌbax barˈtara",to skip,пропускать,"~ батара
~ батур",
,"v cls
гл. кл.","баҳ чибарта́ра
ˌbax tʃibarˈtara",to abandon,бросать,"~ чибатара
~ чибатур",
,"v cls
гл. кл.","баҳа́ра
baˈxara",to walk,ходить,,
,"n
сущ.","ба́ҳу
ˈbaxu",gait,походка,,
,"n
сущ.","бацби́кь
batsˈbikʼ",chudu,чуду,бацбикье,
,"n
сущ.","бацц
ˈbatsː","moon
month","луна
месяц","бацце-
биццре",
,"adj cls
прил. кл.","баць
ˈbatsʼ",empty,пустой,,
,"v cls
гл. кл.","баць бира́ра
ˌbatsʼ biˈrara",to empty,опустошать,"~ барара
~ барив",
,"v cls
гл. кл.","баць бирьо́ра
ˌbatsʼ birˈhora",to have a miscarriage,иметь выкидыш,"~ биьора
~ биьяв",
,"n
сущ.","бацьде́ҳ
batsʼˈdex",emptiness,пустота,,
,"n
сущ.","бацьи́в ме́тье
baˌtsʼiv ˈmetʼe",clarified butter,топленое масло,,
,"n
сущ.","бацьу́ҡь
baˈtsʼuqʼ",empty nut,пустой орех,бацьуҡье,
,"n
сущ.","ба́че
ˈbatʃe",necklace,ожерелье,"бачин-
бичне",
,"n
сущ.","бачьиби́л
batʃʼiˈbil",pimple,прыщ,дачьивте,
,"n
сущ.","ба́чьру
ˈbatʃʼru",sweet cherry,черешня,бачьунде,
,"v cls
гл. кл.","башиха́ра
baʃiˈχara",to manage,управлять,башихив,
,"n
сущ.","ба́шҡа
ˈbaʃqa",garden,сад,башҡурбе,
,"n
сущ.","башли́ҡҡ
baʃˈliqː",bashlyk,башлык,башлиҡҡе,
,"n
сущ.","баъ
ˈbaʔ","edge
opportunity","край
возможность",биъре,
,"v cls
гл. кл.","баъ бирҳа́ра
ˌbaʔ birˈxːara",to proceed,приступать,"~ биҳара
~ бишив",
,"v
гл.","баъ рира́ра
ˌbaʔ riˈrara",to woo,сватать,"~ рарара
~ рарив",
,"v
гл.","баъ цабурца́ра
ˌbaʔ tsaburˈtsara",to attempt,"пытаться, браться","~ цабуцара
~ цабуцив",
,"n
сущ.","баълаба́
baʔlaˈba",extremity,крайность,баълабне,
,"adv
нар.","ба́ъни
ˈbaʔni",about to,вот-вот,,
,"adj
прил.","баь
ˈbah",the most,самый,,
,"n cls
сущ. кл.","баь
ˈbah",owner,обладатель,баьте,
,"v cls
гл. кл.","баь арга́ра
ˌbah arˈgara",to own,владеть,"~ агара
~ агур",
,"v cls
гл. кл.","баь берта́ра
ˌbah berˈtara",to undress,раздеваться,"~ бетара
~ бетур",
,"v cls
гл. кл.","баь булга́на
ˌbah bulˈgana",to dress,одеваться,"~ балгана
~ балгун",
,"n
сущ.","баьа́
baˈha",price,цена,баьне,
,"n
сущ.","баьаду́р
bahaˈdur",hero,герой,баьадурте,
,"n
сущ.","баьбаьи́
bahbaˈhi",riddle,загадка,баьбаьне,
,"n
сущ.","баьбе́кь
bahˈbekʼ",patron,покровитель,,
,"adj cls
прил. кл.","баьи́ж
baˈhiʒ",obvious,очевидный,,
,"n cls
сущ. кл.","баьи́н
baˈhin",master,хозяин,баьинте,
,"n pl
сущ. мн.","баьинте́
bahinˈte",parents,родители,,
,"adj
прил.","баьла́
bahˈla","slow
careful","медленный
аккуратный",,
,"v
гл.","баьла́ иҡа́ра
bahˌla iˈqara",to unwind,отдыхать,"~ аҡара
~ аҡив",
,"n
сущ.","баьладе́ҳ
bahlaˈdex",relief,облегчение,,
,"adv
нар.","ба́ьласар
ˈbahlasar",for the first time,впервые,,
,"n
сущ.","баьна́
bahˈna",reason,повод,баьниппе,
